date time unix_time bits_sent
2022-11-19 05:00:16 1668834016 12648
2022-11-19 04:57:15 1668833835 11912
2022-11-19 04:54:15 1668833655 16016
2022-11-19 04:51:15 1668833475 12368
2022-11-19 04:48:15 1668833295 12144
2022-11-19 04:45:15 1668833115 11568
2022-11-19 04:42:15 1668832935 12560
2022-11-19 04:39:15 1668832755 15544
2022-11-19 04:36:15 1668832575 12488
2022-11-19 04:33:15 1668832395 12168
2022-11-19 04:30:16 1668832216 12760
2022-11-19 04:27:15 1668832035 15328
2022-11-19 04:24:15 1668831855 12304
2022-11-19 04:21:15 1668831675 12232
2022-11-19 04:18:15 1668831495 12704
2022-11-19 04:15:16 1668831316 15448
2022-11-19 04:12:15 1668831135 13304
2022-11-19 04:09:15 1668830955 12656
2022-11-19 04:06:15 1668830775 12032
2022-11-19 04:03:15 1668830595 19464
2022-11-19 04:00:15 1668830415 12328
2022-11-19 03:57:15 1668830235 12248
2022-11-19 03:54:15 1668830055 12064
2022-11-19 03:51:16 1668829876 15944
2022-11-19 03:48:15 1668829695 12320
2022-11-19 03:45:15 1668829515 11248
2022-11-19 03:42:15 1668829335 12904
2022-11-19 03:39:15 1668829155 15392
2022-11-19 03:36:15 1668828975 12000
2022-11-19 03:33:15 1668828795 12520
2022-11-19 03:30:15 1668828615 12328
2022-11-19 03:27:15 1668828435 12568
2022-11-19 03:24:15 1668828255 15424
2022-11-19 03:21:15 1668828075 12392
2022-11-19 03:18:15 1668827895 12344
2022-11-19 03:15:15 1668827715 12424
2022-11-19 03:12:15 1668827535 15616
2022-11-19 03:09:15 1668827355 12312
2022-11-19 03:06:15 1668827175 12216
2022-11-19 03:03:15 1668826995 15776
2022-11-19 03:00:15 1668826815 16024
2022-11-19 02:57:15 1668826635 12032
2022-11-19 02:54:16 1668826456 12312
2022-11-19 02:51:15 1668826275 34280
2022-11-19 02:48:15 1668826095 16040
2022-11-19 02:45:16 1668825916 12368
2022-11-19 02:42:15 1668825735 11992
2022-11-19 02:39:15 1668825555 12392
2022-11-19 02:36:15 1668825375 15976
2022-11-19 02:33:15 1668825195 12312
2022-11-19 02:30:15 1668825015 12288
2022-11-19 02:27:15 1668824835 12208
2022-11-19 02:24:15 1668824655 15704
2022-11-19 02:21:15 1668824475 12208
2022-11-19 02:18:15 1668824295 12736
2022-11-19 02:15:15 1668824115 11944
2022-11-19 02:12:16 1668823936 12624
2022-11-19 02:09:15 1668823755 15576
2022-11-19 02:06:15 1668823575 12384
2022-11-19 02:03:16 1668823396 15656
2022-11-19 02:00:15 1668823215 12096
2022-11-19 01:57:15 1668823035 16168
2022-11-19 01:54:15 1668822855 12000
2022-11-19 01:51:15 1668822675 11528
2022-11-19 01:48:16 1668822496 13320
2022-11-19 01:45:15 1668822315 14904
2022-11-19 01:42:15 1668822135 12520
2022-11-19 01:39:16 1668821956 12368
2022-11-19 01:36:15 1668821775 12304
2022-11-19 01:33:15 1668821595 16280
2022-11-19 01:30:15 1668821415 12232
2022-11-19 01:27:15 1668821235 12352
2022-11-19 01:24:15 1668821055 12192
2022-11-19 01:21:15 1668820875 15800
2022-11-19 01:18:15 1668820695 12592
2022-11-19 01:15:15 1668820515 12240
2022-11-19 01:12:15 1668820335 12120
2022-11-19 01:09:15 1668820155 16064
2022-11-19 01:06:15 1668819975 12240
2022-11-19 01:03:16 1668819796 15928
2022-11-19 01:00:15 1668819615 12040
2022-11-19 00:57:15 1668819435 15128
2022-11-19 00:54:15 1668819255 13344
2022-11-19 00:51:15 1668819075 12336
2022-11-19 00:48:15 1668818895 12448
2022-11-19 00:45:15 1668818715 12120
2022-11-19 00:42:15 1668818535 14936
2022-11-19 00:39:15 1668818355 12168
2022-11-19 00:36:15 1668818175 12384
2022-11-19 00:33:15 1668817995 12576
2022-11-19 00:30:15 1668817815 15552
2022-11-19 00:27:15 1668817635 12704
2022-11-19 00:24:15 1668817455 11944
2022-11-19 00:21:15 1668817275 12448
2022-11-19 00:18:15 1668817095 15984
2022-11-19 00:15:15 1668816915 11880
2022-11-19 00:12:15 1668816735 12480
2022-11-19 00:09:15 1668816555 11936
2022-11-19 00:06:15 1668816375 16304
2022-11-19 00:03:16 1668816196 15736
2022-11-19 00:00:15 1668816015 12264
